2018-12-17 21:18:33, INFO, 183.246.148.182, File[ E:\msw\unionchargepay\pay.php ], Line[53]------ ============处理前台请求开始=============== 
2018-12-17 21:18:33, INFO, 183.246.148.182, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-12-17 21:18:33, INFO, 183.246.148.182, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionchargepay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionchargepay/FrontReceive.php&merId=310420173990262&orderId=MS201812172118332946&reqReserved= 透传信息&signMethod=01&txnAmt=50000&txnSubType=01&txnTime=20181217211833&txnType=01&version=5.0.0 
2018-12-17 21:18:33, INFO, 183.246.148.182, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >c1794d1d14abdcd468a22195a62ed2de477b0acf 
2018-12-17 21:18:33, INFO, 183.246.148.182, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[33]------ 签名串为 >bjW0dbfK1CZYZwtzYpHT2UYhYZpg0+8SIbML9jsCCh0oF3e/KDN/51Aw1lKogNaeDtlq9FtLaK4XijQ5VlGXPIrWehBT1OmGqT9XhU9zPR//nBX4SMeJUrxWxQqHSUjuBhJFCff2y1gNccLObMstq/4lxuqktl/pKiL/4Kef0jcPckT14fmZMLWvtbJ8AA0WK23EANetcL3Tzx6rGZwWfIuj6KjCaH8PTquM+5i2wB0nIrw7oi+qaxWj4oGLBfIUAJd78LENYDl30rBZx06K21y47IryxLccI4U8oshs2fQEwqern3VqcC5f3ExeJBau5DspIR1nf7mzU4dJ3r2U9w== 
2018-12-17 21:18:33, INFO, 183.246.148.182, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-12-17 21:18:33, INFO, 183.246.148.182, File[ E:\msw\unionchargepay\pay.php ], Line[82]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-12-17 21:20:07, INFO, 183.246.148.182, File[ E:\msw\unionchargepay\pay.php ], Line[53]------ ============处理前台请求开始=============== 
2018-12-17 21:20:07, INFO, 183.246.148.182, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-12-17 21:20:07, INFO, 183.246.148.182, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionchargepay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionchargepay/FrontReceive.php&merId=310420173990262&orderId=MS201812172120072830&reqReserved= 透传信息&signMethod=01&txnAmt=40000&txnSubType=01&txnTime=20181217212007&txnType=01&version=5.0.0 
2018-12-17 21:20:07, INFO, 183.246.148.182, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >716f73d0ba157369df52193c2590d99df52197a4 
2018-12-17 21:20:08, INFO, 183.246.148.182, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[33]------ 签名串为 >Xa3TzBDRgcw273L6d4sJI9XQ8d8rwc8WgbbWkpKvkXw5nFBISshxic9/LCD8KhnpyieDhj8Lb4c2IHFFmIIp7kqQQz2ezki9Xjv84apPGIe5EFD0OpXqPOpkNIkqbzBuOLmlg9isHSShQUrlf9vF0eGTSEph1q9WsAKtmuiUlrhzStZsAWMPtpLiwPyErQO1tbPRXNk1dcGB+RIdXrwo6tMr271a9mpqoccmAJk4Cz9BF91sOU4BWg5CKE8tomYPYh71lJrsLDZ6VlN+CCaCRYq49W8wGryTU0cm3qB//PSpyQnbGu+bpgnFAixNbqhSri4YJksP9qWQHoXyH7Yprw== 
2018-12-17 21:20:08, INFO, 183.246.148.182, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-12-17 21:20:08, INFO, 183.246.148.182, File[ E:\msw\unionchargepay\pay.php ], Line[82]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-12-17 21:21:09, INFO, 101.230.11.189, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[74]------ 报文返回的证书ID>69597475696 
2018-12-17 21:21:09, INFO, 101.230.11.189, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[77]------ 验证签名证书目录 :>E:/msw/unionchargepay/certs/ 
2018-12-17 21:21:09, INFO, 101.230.11.189, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[93]------ 没有找到证书ID为[69597475696]的证书 
