2018-01-12 9:36:55, INFO, 125.119.246.32, File[ E:\msw\unionchargepay\pay.php ], Line[53]------ ============处理前台请求开始=============== 
2018-01-12 9:36:55, INFO, 125.119.246.32, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-01-12 9:36:55, INFO, 125.119.246.32, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionchargepay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionchargepay/FrontReceive.php&merId=310420173990262&orderId=MS201801120936552804&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20180112093655&txnType=01&version=5.0.0 
2018-01-12 9:36:55, INFO, 125.119.246.32, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >5a79ae7ec606bf809dcfdfb8787c703cd8364f28 
2018-01-12 9:36:56, INFO, 125.119.246.32, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[33]------ 签名串为 >eCmsnr93R0mumqm5ncJ2/yLf05Sdu4KyZWsPHwfEvJ4n9zCgZqModQhVRWlJa/TUndpVMBdjO/b9znL6J/5dU66Ebps25lNabuz3lmFZSKfD7/eHzxlxV+Q8CM6PJU3/Gxx4uunCxD7nYGwo9RgsbSVAC10IBW46qnyRdy1y/CPdy10hCsZOLP/kUSWOk9P18gjEic8f2b7Us63zD5XN2Z8kzDtthZoGfqi0Cp9JX/deVu7MpBD1rcrC/sJAqt1iNnm6375UL7RE+1HvuA1EIQ+I2OVJHY10O6lqcLVQD8LOZSsMoKsDAjGiPry6I69gxulGTJ+nHcPABVBzjpu1tw== 
2018-01-12 9:36:56, INFO, 125.119.246.32, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-01-12 9:36:56, INFO, 125.119.246.32, File[ E:\msw\unionchargepay\pay.php ], Line[82]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-01-12 9:37:50, INFO, 125.119.246.32, File[ E:\msw\unionchargepay\pay.php ], Line[53]------ ============处理前台请求开始=============== 
2018-01-12 9:37:50, INFO, 125.119.246.32, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-01-12 9:37:50, INFO, 125.119.246.32, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionchargepay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionchargepay/FrontReceive.php&merId=310420173990262&orderId=MS201801120937506273&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20180112093750&txnType=01&version=5.0.0 
2018-01-12 9:37:50, INFO, 125.119.246.32, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >0785de88f00de4ce9c16e59c5d7108bdfacf7add 
