2019-03-06 12:08:25, INFO, 39.107.127.149, File[ E:\msw\unionchargepay\pay.php ], Line[53]------ ============处理前台请求开始=============== 
2019-03-06 12:08:25, INFO, 39.107.127.149, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2019-03-06 12:08:25, INFO, 39.107.127.149, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionchargepay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionchargepay/FrontReceive.php&merId=310420173990262&orderId=MS201903051102397275&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20190306120825&txnType=01&version=5.0.0 
2019-03-06 12:08:25, INFO, 39.107.127.149, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >e29298912af2a881016d0c507140b118c563d082 
2019-03-06 12:08:26, INFO, 39.107.127.149, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[33]------ 签名串为 >dtaU5sn7Isp+NkN7dGGX+EXmyHZwrbiZoI5/2jpeiE8J17kRAa9OvDUb7+IzOdrpsKNnQw+8MJJd0gbLY3OPcbCdkf+RLnDhW5SekONrPpykFYBt2ekL/n/PAcXvvDEEIKKwfCA123UNE5HNER/Z6aOY0axF7TWWn4Gs0rI6Nc8VdAezsfARKyBAwqIWxf706D6jsJaQBlbS8CktwVGADZqxh9s2xoRT0Xy4Asu7bYqBJL3Kp5EdKRPO49DfXkWc0GEaUMgOrSmNlf3MGnGp6JSGiNwOYYl691uCMIeURYoJNv6I2fG5Z4XjeYmr1b9VHDE1QwdJAZdoh56/5/hHfQ== 
2019-03-06 12:08:26, INFO, 39.107.127.149, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2019-03-06 12:08:26, INFO, 39.107.127.149, File[ E:\msw\unionchargepay\pay.php ], Line[82]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2019-03-06 18:48:07, INFO, 120.79.184.41, File[ E:\msw\unionchargepay\pay.php ], Line[53]------ ============处理前台请求开始=============== 
2019-03-06 18:48:07, INFO, 120.79.184.41, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2019-03-06 18:48:07, INFO, 120.79.184.41, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionchargepay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionchargepay/FrontReceive.php&merId=310420173990262&orderId=MS201903051102397275&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20190306184807&txnType=01&version=5.0.0 
2019-03-06 18:48:07, INFO, 120.79.184.41, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >309080cbc2a380c2c85743d5d2cc4842410efa45 
2019-03-06 18:48:07, INFO, 120.79.184.41, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[33]------ 签名串为 >juBI76pLKhLAzlBh1g71ZvQDQ6JHiWDV5sSxWEc7v8qEzPB1157t6Gs9pgka0yiZmAZKbFIYkhLNwiCZyCI1LgFcNYW/il8OW8YTVfJBCktzVaQE9e7d6vr53gv8mGBpo4irJXr4c4xZm2q14ILgvSYNtH4/Ose2GBrKKXY3EUk/LYh6IeoeoEqQXDcFk2UQ5ie58cgO3aVqMqN83E6X3roWdBwwRVLxyqo1OsBYnk/w6XgRwgRrqKMWgBDTkmOhz7vaeuB5Rrrzs41rGFKIRlnjtWbWq5Z/Baswr96FEs62Yow0wcgh5cKKabXlYJsAOj70rqq6xYk2m6h4oXwY1g== 
2019-03-06 18:48:07, INFO, 120.79.184.41, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2019-03-06 18:48:07, INFO, 120.79.184.41, File[ E:\msw\unionchargepay\pay.php ], Line[82]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
