2018-05-07 11:41:54, INFO, 183.128.129.122, File[ E:\msw\unionchargepay\pay.php ], Line[53]------ ============处理前台请求开始=============== 
2018-05-07 11:41:54, INFO, 183.128.129.122, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-05-07 11:41:54, INFO, 183.128.129.122, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionchargepay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionchargepay/FrontReceive.php&merId=310420173990262&orderId=MS201805071141546532&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20180507114154&txnType=01&version=5.0.0 
2018-05-07 11:41:54, INFO, 183.128.129.122, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >29bce3a9485003d92848f9780365d68867f4f911 
2018-05-07 11:41:55, INFO, 183.128.129.122, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[33]------ 签名串为 >bdD6572AuPa0398s/2fT/6hLY3X+bG1FbkitTUCy+oJIfg9GuedLRD5XFFXCOBLobJ6Aqcg2DFyusjFRPosFrh/TaruOj8O9BD0T5nwkPXlEQM3VhA1KGOFKgN280gIncswhRwPgtIfyUFYZGELopqZd0bWxfTVCb/IVkPx1t0Jz1Ryqu7oMNvFl8xC6C7peeQyI5SxqIzwKzHEYJxSelo86CTx1H7IdITiQ64bcvegeqADY7RP48KEQF577L4hVQoGVVogF5owUnwHsLAuUdnHBLl09liMS0l7J2p6N3VfI3ubGOXxAzuaGprA5lyBl+BqzjSqI0eEa2HhANoDx/A== 
2018-05-07 11:41:55, INFO, 183.128.129.122, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-05-07 11:41:55, INFO, 183.128.129.122, File[ E:\msw\unionchargepay\pay.php ], Line[82]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-05-07 11:43:23, INFO, 183.128.129.122, File[ E:\msw\unionchargepay\pay.php ], Line[53]------ ============处理前台请求开始=============== 
2018-05-07 11:43:23, INFO, 183.128.129.122, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-05-07 11:43:23, INFO, 183.128.129.122, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionchargepay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionchargepay/FrontReceive.php&merId=310420173990262&orderId=MS201805071143239147&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20180507114323&txnType=01&version=5.0.0 
2018-05-07 11:43:23, INFO, 183.128.129.122, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >9968b9b08978350945cabc9a1faffd43a6633eab 
