2017-12-14 18:56:40, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\pay.php ], Line[53]------ ============处理前台请求开始=============== 
2017-12-14 18:56:40, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2017-12-14 18:56:40, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionchargepay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionchargepay/FrontReceive.php&merId=310420173990262&orderId=MS201712141856084096&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20171214185640&txnType=01&version=5.0.0 
2017-12-14 18:56:40, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >a3873c92b4a9ef53ce4b14bd59aa596bad2fe654 
2017-12-14 18:56:41, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[33]------ 签名串为 >YTMs7sYv1YUXqzUmAuXF6D3fQ149Am9z/PEJCdC9LzroXbrio2wf656Cj/2rI6tJS3WB2QmospuCBdbFfwV/lb/fwZbFM7pDROqcWKDzCEtWDOHXzUReh02d2OwaoRHQvzxyGXWljDewYettJhcFus3LpuMd25XdWYBVcU/HatwbeR6N6IczVfupuviGWTDlYsHaqpFQD0BjknJCekHhnrGbkioaayIUNtukRhGLcQVPQ0gDUpco4jYsKITfUPU4Owu8zQy7g4oWfg9uoBywcFgB77RwuKdYSX0VUzQBo+rHBE1eKAR7kMMOR0hRujsSEG4XuWTJS7aE7MhiSaKk5A== 
2017-12-14 18:56:41, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2017-12-14 18:56:41, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\pay.php ], Line[82]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2017-12-14 18:56:50, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\pay.php ], Line[53]------ ============处理前台请求开始=============== 
2017-12-14 18:56:50, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2017-12-14 18:56:50, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionchargepay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionchargepay/FrontReceive.php&merId=310420173990262&orderId=MS201712141856503090&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20171214185650&txnType=01&version=5.0.0 
2017-12-14 18:56:50, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >4eb35b314cfb3cf49ab9e46aa7b6bf69d8646d09 
2017-12-14 18:56:50, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[33]------ 签名串为 >hDCU1fk+uGanbo/Y9HvWg+JWIO2/9aqTx8vm/JCbXlBT5enyaquVWAEf5kjIWo4D2S84W5ZfBy2ODlhKILD5UW/RIdMhpAFSGntZpYFmn1nGxiCgXuW6q7O5C4ujOusF5D15FXq8D/e3NAa0CgDec0+l5HPAfjLdG/7WsADisqAGE7qrBiUa4bk3B3x8ApgdDj+0wGyc7z7sbBrCdv6E78/FpIp+HwzOa2kPCxTQtOMGMDYWEX6eQLF2hHTcgEhiC//T+82+3++yehFIyFgHPBq/sba53L19PXYV8K5ZJnWN4jsNwcWbCNYwR/g3zAcJg2MwZnSvC3MBzPU68pLKpw== 
2017-12-14 18:56:50, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2017-12-14 18:56:50, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\pay.php ], Line[82]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2017-12-14 20:51:41, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\pay.php ], Line[53]------ ============处理前台请求开始=============== 
2017-12-14 20:51:41, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2017-12-14 20:51:41, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionchargepay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionchargepay/FrontReceive.php&merId=310420173990262&orderId=MS201712142051414555&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20171214205141&txnType=01&version=5.0.0 
2017-12-14 20:51:41, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >1933a3941f5d7dd6e9eac73dc9f4adec1c089b34 
2017-12-14 20:51:41, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[33]------ 签名串为 >YVRYwt1MNsG6lRSkQg+Ld9/hrEH12lKAFN2jVh4IIUNhX0cRKAm2pSFg0S2g0+Vy1yC8g9gr36/Ft4OGPsyG6VBcEqBgsYbSGa0sF+A2EAJDfVlSJf/JnZQUKI7gYfHlmv4wRuwqJnuCPJT+Kt0GRJlNG+V9MgzR+IA5/TCLPgvl2yvp60MXKUmt2VqmpB6z5+x2WgRxHcYbRdk5emh443p4G0msBK1ECg3vCBYlugQbj4nOkmAGpdD8PtQhL1iWBJUY+c52pMuQ/MfCcU5cNOalUclry9XUP2Hdxcwsiy40BdIgj9YGmmxzdNogRaSlwGuF4gwxF/BaxtnL+faSrA== 
2017-12-14 20:51:41, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2017-12-14 20:51:41, INFO, 220.184.149.145, File[ E:\msw\unionchargepay\pay.php ], Line[82]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
