2018-01-19 14:28:41, INFO, 115.200.224.37, File[ E:\msw\unionchargepay\pay.php ], Line[53]------ ============处理前台请求开始=============== 
2018-01-19 14:28:41, INFO, 115.200.224.37, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-01-19 14:28:41, INFO, 115.200.224.37, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionchargepay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionchargepay/FrontReceive.php&merId=310420173990262&orderId=MS201801191428402639&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20180119142841&txnType=01&version=5.0.0 
2018-01-19 14:28:41, INFO, 115.200.224.37, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >7997f3f6c84533a04d786b2c0a3b7678fc11a3fa 
2018-01-19 14:28:42, INFO, 115.200.224.37, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[33]------ 签名串为 >ghMwJIkcGMIpoZzXElrD1SBob6NGUzVLcdnBbomuApjgL+YUFgDT5VGIK4ivlEOaVtjvwwgh9HuJOwVzTPW3Kh559LFc8jLNPvLxI/YuQLfZG6Fb1z7olMGFxfT+Yo0sVecFZgYVTysHdM8d2bvzMFtfllwzHpflqYvrYkFv6iIdP7wa63JZtAUolvCk2AxUr1Bc40nCvdUi6/+i1tHLFZjZXW8Olr93DIDya9HzHET6vTAZigb3Z0N/CkC6ZlKIprmvwykAqubcqgTnQCMt/2gPSZxJJHw1jZTN98FWGjiCF+nbWaQ3wbLkK4IQEm8bd1aD/JelhNQs+WQd+GC4gA== 
2018-01-19 14:28:42, INFO, 115.200.224.37, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-01-19 14:28:42, INFO, 115.200.224.37, File[ E:\msw\unionchargepay\pay.php ], Line[82]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-01-19 18:23:45, INFO, 115.200.224.37, File[ E:\msw\unionchargepay\pay.php ], Line[53]------ ============处理前台请求开始=============== 
2018-01-19 18:23:45, INFO, 115.200.224.37, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-01-19 18:23:45, INFO, 115.200.224.37, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionchargepay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionchargepay/FrontReceive.php&merId=310420173990262&orderId=MS201801191823456073&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20180119182345&txnType=01&version=5.0.0 
2018-01-19 18:23:45, INFO, 115.200.224.37, File[ E:\msw\unionchargepay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >89ec7ed413a94f6b00b6ff1fe5935f454f2c6eca 
