2019-01-23 16:04:43, INFO, 124.160.216.122, File[ E:\msw\unionpaypm\pay.php ], Line[165]------ ============处理前台请求开始=============== 
2019-01-23 16:04:43, INFO, 124.160.216.122, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2019-01-23 16:04:43, INFO, 124.160.216.122, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12019012397994950&reqReserved= 透传信息&signMethod=01&txnAmt=0&txnSubType=01&txnTime=20190123160443&txnType=01&version=5.0.0 
2019-01-23 16:04:43, INFO, 124.160.216.122, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >324711a01d7ed7c4a57922328ee32ee7b570b9f1 
2019-01-23 16:04:43, INFO, 124.160.216.122, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >d5dxUG9v+eZwUFavrVIhQClLXJV11AIbJHReJaeeiz1vECHUZMuWjeJin3hWTQZoOKcfCzyMhKORSnsR261abn3jv79vTgjLBFcvwobTseCcxcgJWO1Vr+3+CQ9auS8I6jh0185a1U9uhfYRCjOjYlQHdEL/uThJd1FUVBQ3TGP7fxoT9HqL72K50zMqZhWsBi0KT7dr1lJfG4R81iTZGN+3ZBQyrYXbBSRxYANPzHDCt1Eqhhw3lteiJw85+OlUrWMd8be1GBTjmAl53/Jds6XnmhNmq+m88dkJ90A9pbnH1S7E151BbHFCtxa+K0UbVLjvVESK1v0zcg7oi2ov0g== 
2019-01-23 16:04:43, INFO, 124.160.216.122, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2019-01-23 16:04:43, INFO, 124.160.216.122, File[ E:\msw\unionpaypm\pay.php ], Line[195]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2019-01-23 17:55:58, INFO, 124.160.214.102, File[ E:\msw\unionpaypm\pay.php ], Line[165]------ ============处理前台请求开始=============== 
2019-01-23 17:55:58, INFO, 124.160.214.102, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2019-01-23 17:55:58, INFO, 124.160.214.102, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12019012310010110&reqReserved= 透传信息&signMethod=01&txnAmt=0&txnSubType=01&txnTime=20190123175558&txnType=01&version=5.0.0 
2019-01-23 17:55:58, INFO, 124.160.214.102, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >9b1a2ffac116d6b3bfd8caf433c18bf480d16dc5 
2019-01-23 17:55:59, INFO, 124.160.214.102, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >YT+YPoclsPVy0tGVwjmRrd/Ph1d3ajINZpQ+p/CpkZHUuiVJmTdTymDd7rTV7Ems49VJjqktY7f15k7pO47Vtp4SJn4ca8l8o+M+OsTP4o2JMskcp5BXPIdq92t/K/TBfnWmp7spckQMKvijRSkJCKc3y8MV+Vp5Vmi/s6aF+O3ko3C7QjQPlAxTKb/6deQ3qqOHLk9S4o3idcLMrva17JrTh69O469yT39LO/6Lh5bAyzJhIZ99S2tG+RgbnDgrI4xPspdSKghN6zhAUrhRMKOmji/47xsVzO7PKjEvHBubzDmY3fjqnHVDjLy6KSucNJFJRrw5PM94FrLML+I4DQ== 
2019-01-23 17:55:59, INFO, 124.160.214.102, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2019-01-23 17:55:59, INFO, 124.160.214.102, File[ E:\msw\unionpaypm\pay.php ], Line[195]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2019-01-23 18:01:17, INFO, 223.104.247.139, File[ E:\msw\unionpaypm\pay.php ], Line[165]------ ============处理前台请求开始=============== 
2019-01-23 18:01:17, INFO, 223.104.247.139, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2019-01-23 18:01:17, INFO, 223.104.247.139, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.xn--cqv78iova193cxia.com/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.xn--cqv78iova193cxia.com/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12019012399975057&reqReserved= 透传信息&signMethod=01&txnAmt=0&txnSubType=01&txnTime=20190123180117&txnType=01&version=5.0.0 
2019-01-23 18:01:17, INFO, 223.104.247.139, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >fdac50ccce632da2a4078421bcf163838dbd3ca8 
2019-01-23 18:01:17, INFO, 223.104.247.139, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >gvpQ9JDcI9jSGkGYFFD4eVT2GDskZOzEFDo1xZIDi8K8x1ZC9MVELT2Vwrr47obttskze70Zr3ARVJw3A4ibbrqKzxJpYwpTSqX39UCt4OPOrVaKkjl4NHqzydYHB9cd0mcWcuuDo8W48UVyfpsqgbd76obGiqRl1IUv5Zbsk7AWs+HUnoLfRcstnwALgUz0bwUu8QKW2kH2OVJmf39GBgdOqfC+auY9UZtkWVBPua9GdPipamkfO8hZ2RGiQQCTG+vWDusAjSjxcDpaLPFivKQT1ENuEnjEIYPNlFkVdM0oRoEAGsJKK+TvpLRQwoLL4iZ9NWsqeN27+pAQFv3FfQ== 
2019-01-23 18:01:17, INFO, 223.104.247.139, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2019-01-23 18:01:17, INFO, 223.104.247.139, File[ E:\msw\unionpaypm\pay.php ], Line[195]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2019-01-23 18:01:24, INFO, 223.104.247.139, File[ E:\msw\unionpaypm\pay.php ], Line[165]------ ============处理前台请求开始=============== 
