2019-01-22 11:55:10, INFO, 47.92.95.89, File[ E:\msw\unionpaypm\pay.php ], Line[165]------ ============处理前台请求开始=============== 
2019-01-22 11:55:11, INFO, 47.92.95.89, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2019-01-22 11:55:11, INFO, 47.92.95.89, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12019012198545357&reqReserved= 透传信息&signMethod=01&txnAmt=0&txnSubType=01&txnTime=20190122115511&txnType=01&version=5.0.0 
2019-01-22 11:55:11, INFO, 47.92.95.89, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >656579512e61e54bdc28802f65f593ef4251cfb2 
2019-01-22 11:55:12, INFO, 47.92.95.89, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >Q7TOBpQrR+fb1zY8EayxauKAMkNUSiCj7EURymQdNbTcGkTI2bIf/nsY/Xg/JnacncOS2TxKh/nqLpw8giM+AV1/tliUtEqZUClZPkeX7vmitXeZtsgZbabrmx3dTOvP1SDJSsLlmFFhghKCcbuOC8iYBxFh252uUilQ/3zZns/u9dFwhwBQjUJVx/T8H7f6OAltVodBbk6n3rlFVCN8w3+6tx+aS4bWULV9HCohnm4Qke5BQS17a3YiPXjvoo0k4hVFDYagQdtULeWViNnl2jco21oHxkp8/Rsb2JDCIo64qOVGYX2PhWbJjVyrewCsZeruL2WYZ85Wta5fxrHY8w== 
2019-01-22 11:55:12, INFO, 47.92.95.89, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2019-01-22 11:55:12, INFO, 47.92.95.89, File[ E:\msw\unionpaypm\pay.php ], Line[195]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2019-01-22 11:58:04, INFO, 101.132.69.5, File[ E:\msw\unionpaypm\pay.php ], Line[165]------ ============处理前台请求开始=============== 
2019-01-22 11:58:04, INFO, 101.132.69.5, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2019-01-22 11:58:04, INFO, 101.132.69.5, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.xn--cqv78iova193cxia.com/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.xn--cqv78iova193cxia.com/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12019012154511025&reqReserved= 透传信息&signMethod=01&txnAmt=0&txnSubType=01&txnTime=20190122115804&txnType=01&version=5.0.0 
2019-01-22 11:58:04, INFO, 101.132.69.5, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >5e79731f2e5620d33a7cd3a1e145902bf71c2558 
