2019-01-28 14:03:46, INFO, 139.224.15.159, File[ E:\msw\unionpaypm\pay.php ], Line[165]------ ============处理前台请求开始=============== 
2019-01-28 14:03:46, INFO, 139.224.15.159, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2019-01-28 14:03:46, INFO, 139.224.15.159, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12019012710157485&reqReserved= 透传信息&signMethod=01&txnAmt=0&txnSubType=01&txnTime=20190128140346&txnType=01&version=5.0.0 
2019-01-28 14:03:46, INFO, 139.224.15.159, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >471e4c4afdd01347e32418f9d1a66cbc8e87a9ed 
2019-01-28 14:03:47, INFO, 139.224.15.159, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >B/HispBMH1NUYzWV9jDfRvy4fnF9paULajMnC2QrbiNPrpbufWevWT1oHz+iP/XKj4QzDaJvvKwFUlBD4ECjOsWldIc7ZCiqSUOjPJy8+wN9AgXIOjxyuNNXNWVy0XAD1gsQjfS8bm1xKqOcefc2kr/pL03u7qgW5rMKHDcseAvFD3k8UoXAZvkfspgFiZdVZC28sadEtivpbF3Zbf1ekfA/4meS//gUhtds973J+4PKePrpmY/bUsCmXJtMJhfJHjpoiwfWMm+w95EhJIXpkhzjF8TtjqelykoWZ9Ms9pVE4XOOwBLEl5x+OK+tjWTMqbu3cQL5jZAazIx5MGuHfQ== 
2019-01-28 14:03:47, INFO, 139.224.15.159, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2019-01-28 14:03:47, INFO, 139.224.15.159, File[ E:\msw\unionpaypm\pay.php ], Line[195]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2019-01-28 16:52:11, INFO, 47.97.120.5, File[ E:\msw\unionpaypm\pay.php ], Line[165]------ ============处理前台请求开始=============== 
2019-01-28 16:52:11, INFO, 47.97.120.5, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2019-01-28 16:52:11, INFO, 47.97.120.5, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12019012710157485&reqReserved= 透传信息&signMethod=01&txnAmt=0&txnSubType=01&txnTime=20190128165211&txnType=01&version=5.0.0 
2019-01-28 16:52:11, INFO, 47.97.120.5, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >a4103e394c46eb0e87809df90ea11823040f1870 
2019-01-28 16:52:12, INFO, 47.97.120.5, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >gRqW9LVTqEn4CT2IuQQ3DbO8gPpnUBtgismeB2hiGZC+lOj3Oi4e3zvqT0Fu0sRRZWDbRjG583BT+u9s9qVNPlh7nZYAkFphtOeBQLYkyvimCWxNowHqaAOS4kPK/3ZQ3YxX25H7Em1lwpwEkCUF0/NaaFX8FiIe/63i6JzjdzjHs9gpISB5ivrADT2Ft/sbSEX+Cnx+rexymv3XO3zvKyve12I+Kh7cHY1gULfcGEHSl/Xjavxpabi23KXpvxtVA/nS39CvMn41rL2kxdHrErt8BA9WHYvpTXC9vdrk74of+DBAyJObDLH9OFkn/JS8kCtxnT75p7QaLvCz4QTfJw== 
2019-01-28 16:52:12, INFO, 47.97.120.5, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2019-01-28 16:52:12, INFO, 47.97.120.5, File[ E:\msw\unionpaypm\pay.php ], Line[195]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
