2018-01-12 13:43:24, INFO, 125.119.246.32, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-01-12 13:43:24, INFO, 125.119.246.32, File[ E:\msw\unionpaypm\pay.php ], Line[113]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-01-12 13:43:43, INFO, 101.226.33.219, File[ E:\msw\unionpaypm\pay.php ], Line[83]------ ============处理前台请求开始=============== 
2018-01-12 13:43:43, INFO, 101.226.33.219, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-01-12 13:43:43, INFO, 101.226.33.219, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12018011298545354&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20180112134343&txnType=01&version=5.0.0 
2018-01-12 13:43:43, INFO, 101.226.33.219, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >293fbc39afb49b27e3c8e5813d1fa80fc688fe00 
2018-01-12 13:43:43, INFO, 101.226.33.219, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >T+iTRovFsQYaIeYoE1GLAEKdmO74hGdUqg6PHumymG7PDWOoCOyEECVxHqswfAXIMNAjwVcEZDDMitjiz66eloMFeUhDHFPXoGh30X4+AKqscohoL/O/bI8Zqip529OukqBPRmha02rB93QfriyWjpKKfTXbqa7+JHk4cvsdZ9qa1lnk334zOMV1EK1HllV2mqxaobWMQNqtqvfRIxabfj9QRIe9UiUFrcDSRzvghSXeiM3+0TnTFeYj+cDg9KMkcM6FE1j20cvCOrmIcmfIe9pVmJgmD2xbEqraOIeMLdbfUdkEsU54+wx4NpxOOKLY//HCBxFnpd4UyS0leackFQ== 
2018-01-12 13:43:43, INFO, 101.226.33.219, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-01-12 13:43:43, INFO, 101.226.33.219, File[ E:\msw\unionpaypm\pay.php ], Line[113]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-01-12 13:44:23, INFO, 101.226.66.181, File[ E:\msw\unionpaypm\pay.php ], Line[83]------ ============处理前台请求开始=============== 
2018-01-12 13:44:23, INFO, 101.226.66.181, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-01-12 13:44:23, INFO, 101.226.66.181, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12018011298545354&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20180112134423&txnType=01&version=5.0.0 
2018-01-12 13:44:23, INFO, 101.226.66.181, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >d22734f8f27cde82c4dd2645087c3725a5a99cf2 
2018-01-12 13:44:23, INFO, 101.226.66.181, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >DaIJ+evy2skXhPKwKEnPC8VMtT0OEZ9yWJcgYKahSlvW2gqZ+4XbdjPD82G/juIv4YTRDJwdHfSYATdPT/KpsKbw763BsiL8WgAZ9DhZ0n1WL8VoZ49AmHTbDSmuylJ4yWachgJVuFLyAktioUGO5rZxh1resxwQ/FNYz9bw3l/2j62JF8v5sYNBxxJY9Zre9CsDdl/C/JvCREOtEzcIp9ArRrsaZQZ3jqiG2yRkyoHg4Tp2pUp5dN4LZblbZxPGMe5luE3MDns0gQ7KR/1BsIhsOG2vx3JdLp1oUj8zhI8GHIcZsGh//quHeGA6gDYXc0365RMff88am071VIq5Pw== 
2018-01-12 13:44:23, INFO, 101.226.66.181, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-01-12 13:44:23, INFO, 101.226.66.181, File[ E:\msw\unionpaypm\pay.php ], Line[113]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
