2018-12-17 11:28:54, INFO, 183.133.106.74, File[ E:\msw\unionpaypm\pay.php ], Line[165]------ ============处理前台请求开始=============== 
2018-12-17 11:28:55, INFO, 183.133.106.74, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-12-17 11:28:55, INFO, 183.133.106.74, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.xn--cqv78iova193cxia.com/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.xn--cqv78iova193cxia.com/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12018121754979956&reqReserved= 透传信息&signMethod=01&txnAmt=0&txnSubType=01&txnTime=20181217112855&txnType=01&version=5.0.0 
2018-12-17 11:28:55, INFO, 183.133.106.74, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >aa843d04599b8fb10a0d54a97592d3581a372e65 
2018-12-17 11:28:55, INFO, 183.133.106.74, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >NNkcovbQ8zTqlp5on2RoO+BSbcvdOthTh86P/fnRteFxhPw/dXKiy6eucGsRF91IHSs+BXbnzzQM1Cxn6ER3KHURxWOD8yj3V7t36tkrBw3Sp1VVm1RPGlktcBszxa711xh59XVhlK42Yb4mE3xUBxfv7s1NYn64bzo+CwiPcipaL9HfSDoJDezoKUzdf08szsjs5k40e1YnXDDiUwsjsnuNBVmz2+F+CGultGizzEdArMxeDLq3GfsIh14s0jBHY10M0jZXxOFYESc6p+n6KF8GhL9TwWfaLIYmUWGbtGEiD7m7VmEDxVYbi+tWMfB7ImG28kaCfvaifuwO/k9i5Q== 
2018-12-17 11:28:55, INFO, 183.133.106.74, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-12-17 11:28:55, INFO, 183.133.106.74, File[ E:\msw\unionpaypm\pay.php ], Line[195]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-12-17 11:29:54, INFO, 101.89.29.92, File[ E:\msw\unionpaypm\pay.php ], Line[165]------ ============处理前台请求开始=============== 
2018-12-17 11:29:54, INFO, 101.89.29.92, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-12-17 11:29:54, INFO, 101.89.29.92, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.xn--cqv78iova193cxia.com/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.xn--cqv78iova193cxia.com/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12018121754979956&reqReserved= 透传信息&signMethod=01&txnAmt=0&txnSubType=01&txnTime=20181217112954&txnType=01&version=5.0.0 
2018-12-17 11:29:54, INFO, 101.89.29.92, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >2f654626e8685e7f13b49a819321ab661eaf7d71 
2018-12-17 11:29:54, INFO, 101.89.29.92, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >dfNscGIi+SOQTWATJ2ifm++WE3OzELlnWDY6n9UE//JJ+ovqI6EChwHJUy5ECaBR80s01j2rGBMvQ7NfVJOgKfPmmCjBpSICmw0h18lLAYtFy2BNTTL2lei/M5c7a9IShYX7R8mjVVSS58JGMBF1xY39OOeVMD30++oDqUfuFr2NYqsPA4PnfWIS4IeCHwk4g+i4r6jFPjizZ6gh702EbXomxfC5EIBsiGH3gab/Y01yHwwnfmEenQ0rLDdFGCPqq5gEXy3MNCXznDzcPL3ouQfuZrOEkh5oWhjzvpCm1tVfdzD2N2DgKqpO4iSV3ulj85M6/r7ogaR4z+eBwC59vQ== 
2018-12-17 11:29:54, INFO, 101.89.29.92, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-12-17 11:29:54, INFO, 101.89.29.92, File[ E:\msw\unionpaypm\pay.php ], Line[195]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-12-17 15:16:31, INFO, 125.120.55.195, File[ E:\msw\unionpaypm\pay.php ], Line[165]------ ============处理前台请求开始=============== 
2018-12-17 15:16:31, INFO, 125.120.55.195, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-12-17 15:16:31, INFO, 125.120.55.195, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12018121710254505&reqReserved= 透传信息&signMethod=01&txnAmt=0&txnSubType=01&txnTime=20181217151631&txnType=01&version=5.0.0 
2018-12-17 15:16:31, INFO, 125.120.55.195, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >120b08be11675a5cb7bf28ad18bd3116439e56a3 
2018-12-17 15:16:32, INFO, 125.120.55.195, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >BVzCtIpx0YgN4y1DuUgky5b8q0rCde+HzjPLLBfikaGKvddKGBVYRT4r5aerc7pfyqkgzdsb+kEFk5R3heXZPTmeNYfFj6YC49Z3oEiwhSUAXOVVVsni9PVWKhTM8RmkFzC+o1oLoJ305e+XEAOFK1CYGahjnowzgCw+/lGs2xlhZdGCNRLfQNg632B8TxR8hBsnrfnQLkw8ADcicngBmLVsnhArNfjgfGt1RaQo/29cpLYMvy2XVgNcsBwDjvJpv/Qploi+WU5zqTa7gRUhY/Tmu3asSem3feMDr3nnyTDyMjPWxXdSxEnyuJy2p4U8DblgR6uKLojW5zO2rnL3jg== 
2018-12-17 15:16:32, INFO, 125.120.55.195, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-12-17 15:16:32, INFO, 125.120.55.195, File[ E:\msw\unionpaypm\pay.php ], Line[195]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-12-17 20:58:35, INFO, 112.10.211.64, File[ E:\msw\unionpaypm\pay.php ], Line[165]------ ============处理前台请求开始=============== 
2018-12-17 20:58:35, INFO, 112.10.211.64, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-12-17 20:58:35, INFO, 112.10.211.64, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12018121797519953&reqReserved= 透传信息&signMethod=01&txnAmt=0&txnSubType=01&txnTime=20181217205835&txnType=01&version=5.0.0 
2018-12-17 20:58:35, INFO, 112.10.211.64, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >59277b80dab7b4fff73e0c090e72cbabe7228070 
2018-12-17 20:58:35, INFO, 112.10.211.64, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >bIPWQpyKJTOUOG4KQMkCcSwKMKl0BztO08BK7vhSV74yUWQZ601yEPb+wmCE5zASB5/BVLEXGqmlemK93xTJaFLQ8tW015b1tofiZf/e1Bf6ffZmVWA/he+Rkhxxe8c39Z3b2QnkrJrDODdvzNJFYwv4X700GtIw/qO7u8mAd0/rgHEcHPZ9HFR5tBNbzdU9siJtxc0YVtGzwakfuJE0seOmwPPVTd88abc1za6Fy24Hv4pNcf5J/5WIVdUUgO5Ab7P3bTJmRs+aUFlWkX0q0uOYYL2UADpbk2NKIBRlrTTFBtaO/niCElyPb7q3Act3EnvzgTloywa1ZYWDaPULjQ== 
2018-12-17 20:58:35, INFO, 112.10.211.64, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-12-17 20:58:35, INFO, 112.10.211.64, File[ E:\msw\unionpaypm\pay.php ], Line[195]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-12-17 20:59:35, INFO, 101.91.60.104, File[ E:\msw\unionpaypm\pay.php ], Line[165]------ ============处理前台请求开始=============== 
2018-12-17 20:59:35, INFO, 101.91.60.104, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-12-17 20:59:35, INFO, 101.91.60.104, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12018121797519953&reqReserved= 透传信息&signMethod=01&txnAmt=0&txnSubType=01&txnTime=20181217205935&txnType=01&version=5.0.0 
