2018-01-13 14:22:38, INFO, 220.184.150.50, File[ E:\msw\unionpaypm\pay.php ], Line[83]------ ============处理前台请求开始=============== 
2018-01-13 14:22:38, INFO, 220.184.150.50, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-01-13 14:22:38, INFO, 220.184.150.50, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12018011310157985&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20180113142238&txnType=01&version=5.0.0 
2018-01-13 14:22:38, INFO, 220.184.150.50, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >a323b75e133096dcbf05ff3833b13067816a9f2a 
2018-01-13 14:22:38, INFO, 220.184.150.50, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >BU/lJSqlwzQ+m5iNZX+8eG27Ww/kttOHZARkOqO4/peKd2BBDuXR6Mpn9GJ43u3JP9d7urWltoKMEskWK4GMGv0zipgX//pdQ8LDd2yfvsOc41fs2onmgg4rAKATH2cUGdL0Iu5QhlvrIg4WLnTJmDQ5QVSZ+hgRYj8p8HcdHhKx0TcJ4FrlPJ/2VqjhJJJxnkWIDOYdcjZy+0n5Youb+KD1R2mjeEy7OPc1or4N6d8DIDg3grDvmRPNKUY+VxpMB6t+vVMSLYVC1ziC/85CU1DS13f2DHtrdw1QmMgs6hSfU+xlNGprr6KGQ14l3ZdBwPpHRW8wqxzWHrfiBcnLWg== 
2018-01-13 14:22:38, INFO, 220.184.150.50, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-01-13 14:22:38, INFO, 220.184.150.50, File[ E:\msw\unionpaypm\pay.php ], Line[113]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-01-13 14:23:32, INFO, 220.184.150.50, File[ E:\msw\unionpaypm\pay.php ], Line[83]------ ============处理前台请求开始=============== 
2018-01-13 14:23:32, INFO, 220.184.150.50, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-01-13 14:23:32, INFO, 220.184.150.50, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12018011352555610&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20180113142332&txnType=01&version=5.0.0 
2018-01-13 14:23:32, INFO, 220.184.150.50, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >6ba3cbd13839b408bbc107bbda5c0a647681e4e2 
2018-01-13 14:23:32, INFO, 220.184.150.50, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >Otg0g5snzVkOvbs+0j7CC6Joikfew4zTj8jSV+9/sdegLU0RTHPdbl/v/WS1Fw0O/qbJpJmwfDFUtndcLsr941grsd9uP7668abA0Z+a4BQE++2RmjLruuFgv0M1OGlMwiS3pexEW8oeZRSak6VfqcAE0lLhMwKWT9wnyPeIA51Ye/NdYrlVrRAhpk290IMi+nHZOOXa47Vs/2jRzmCIWHF2ihRCsacbeIooyxVSuxy8KrbEQp0j4VCrxwNvh8z6Nr4wCs4YS+KTBglpLKDmf/fHazkYAu1jjwfj2O45BcQPoQmvLl6VDN+iYMAC11LV5CcUgaRBat/R8I0+Lgsfgg== 
2018-01-13 14:23:32, INFO, 220.184.150.50, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-01-13 14:23:32, INFO, 220.184.150.50, File[ E:\msw\unionpaypm\pay.php ], Line[113]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-01-13 14:24:31, INFO, 101.226.33.225, File[ E:\msw\unionpaypm\pay.php ], Line[83]------ ============处理前台请求开始=============== 
2018-01-13 14:24:31, INFO, 101.226.33.225, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-01-13 14:24:31, INFO, 101.226.33.225, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionpaypm/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionpaypm/FrontReceive.php&merId=310420173990262&orderId=12018011352555610&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20180113142431&txnType=01&version=5.0.0 
2018-01-13 14:24:31, INFO, 101.226.33.225, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >792598170ab896ae26128f869aea3a1f3a39eaed 
2018-01-13 14:24:31, INFO, 101.226.33.225, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[33]------ 签名串为 >imBNx/xSFmo2+dvYEEZOHnONyjl3N5sRf5O9L4B/UpqXEE6AUiV2Zmi7KYi/jSZ5x3Ty3djneuJ0ytBcbZ+Odn+xRTf4mJJW4C89bGShs2HXaoBCwHx+kwy45gmoFn9WT43apa4ebPA/VKH5T3tKY5C70nSiHyML8CYuiNswFo/YNJZ6I3peh/cXJZhuzafGsKswK+fRxWZhNEWgtcjMUB0zgzsv8A1Hdz0DXD5NpZ4cJRwtQZ3lKRTZ5j1G+yKvkbo9BTcnH0cmike87r9dwwZMfi35UDuWgAVnNnfNrWjqyC1sBKSXPVDGU2yjt/URywem/TYkFATNQoNlracyIQ== 
2018-01-13 14:24:31, INFO, 101.226.33.225, File[ E:\msw\unionpaypm\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-01-13 14:24:31, INFO, 101.226.33.225, File[ E:\msw\unionpaypm\pay.php ], Line[113]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
