2018-01-19 19:05:58, INFO, 115.200.224.37, File[ E:\msw\unionpay\pay.php ], Line[65]------ ============处理前台请求开始=============== 
2018-01-19 19:05:58, INFO, 115.200.224.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-01-19 19:05:58, INFO, 115.200.224.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionpay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionpay/FrontReceive.php&merId=310420173990262&orderId=MS201801191903173087&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20180119190558&txnType=01&version=5.0.0 
2018-01-19 19:05:58, INFO, 115.200.224.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >fa2b598e0012f5a6657c497e8383d970025ea38c 
2018-01-19 19:05:58, INFO, 115.200.224.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >jiBKPJApzI3OLg20WGgrtHFPtgL9qF23d93jqhjNgpC+FNFbLrj+aGSBH1jvlsEyNYnwjZF6BhcugoJp2bK/tQupOVPu/RCusgpTq5TqBIaH6YzQAqtpbIdFvEaC1oeEWL/H6IncxGIcS0QXo94Bxpo7uiGX9t4xz2G6L+RTy8U5EtcqgZ9l+jed0qWg4PeyiZcOTP38C/T9l2X7bZk4M4M14urtr6BIop+pSlW5WKLGpznBOgQGZWtMneXQyNYZRwOHhdttmh+EOx+JadSqwpvPX9FQAavvoKP796KghWtFoIP8XPZYYSk3V4+gfyKELyQBx8F8IdfUYw1DCqDkWA== 
2018-01-19 19:05:58, INFO, 115.200.224.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-01-19 19:05:58, INFO, 115.200.224.37, File[ E:\msw\unionpay\pay.php ], Line[95]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-01-19 19:08:08, INFO, 115.200.224.37, File[ E:\msw\unionpay\pay.php ], Line[65]------ ============处理前台请求开始=============== 
2018-01-19 19:08:08, INFO, 115.200.224.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-01-19 19:08:08, INFO, 115.200.224.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionpay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionpay/FrontReceive.php&merId=310420173990262&orderId=MS201801191908051993&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20180119190808&txnType=01&version=5.0.0 
2018-01-19 19:08:08, INFO, 115.200.224.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >2f9a605eb58f73d311029477f3baadc87ed396a5 
2018-01-19 19:08:08, INFO, 115.200.224.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >XkQ9IZMiL5pANW7QnaqjyYPZF+iQeARGAnUm1Se70s4YK7hqOah213zOwyvH7A2KFPSNnu7DuruKCSmDPIWqbaqseXP4WPbUb/g/Dkuu6+nCEM+Irbj1FRRniHS9JpCPxcjWJnor+ktFGsqqaF5MxVkWDS6+h+kSLI8FMYjjgviF/GpeQ30Ytz3pVT/Vi/7lSZWbAqdM3cXLlUJFPO98txsZOLMrXT0G2r6BHu82Dc8COJOetolrOeEUtZ5JaFnB4zL5pxYydNK0/uI7HQkhZre6onu3VvtJHKrHx2fGTcLkSr3IDrGL/UqEnjOtPBjhW5TzRrAhWAvqY/wEUiNSTQ== 
2018-01-19 19:08:08, INFO, 115.200.224.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-01-19 19:08:08, INFO, 115.200.224.37, File[ E:\msw\unionpay\pay.php ], Line[95]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-01-19 19:09:26, INFO, 115.200.224.37, File[ E:\msw\unionpay\pay.php ], Line[65]------ ============处理前台请求开始=============== 
2018-01-19 19:09:26, INFO, 115.200.224.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
