2018-01-13 14:24:30, INFO, 220.184.150.50, File[ E:\msw\unionpay\pay.php ], Line[65]------ ============处理前台请求开始=============== 
2018-01-13 14:24:30, INFO, 220.184.150.50, File[ E:\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-01-13 14:24:30, INFO, 220.184.150.50, File[ E:\msw\unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionpay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionpay/FrontReceive.php&merId=310420173990262&orderId=MS201801131424262974&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20180113142430&txnType=01&version=5.0.0 
2018-01-13 14:24:30, INFO, 220.184.150.50, File[ E:\msw\unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >73f79d25b059f920f4dbcfc737d8d19040d8f4d6 
2018-01-13 14:24:31, INFO, 220.184.150.50, File[ E:\msw\unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >gPRqm9sTPqkL78ZeeqsuaPJUv6nAMxKGaTLQkHUrDpFEyqe77Qb6zxLk2egjKCro2ioXmg/e8M5uNbuNXUfRR3MnEyaOFRAjEYRhwKnUANvW+41ypEXuHPruFn3ImaEaSrAaM/1ZxpSyh3EbOO83SRB4vOBD97rYwSlmBWKaCfB41ezKiiB3UTGbz9jJhQWpPr/zAJeH27Q6yxrr7lvlNMqp/1A/UpTFIQnK5Opl3I9qQi15EDEVuwyIrhoI82VGuX0no5RlkDYvB61jej4MOnyY6BteHG1P/JVBbJpQg4VtVwnu+ifcxYmDPIdpgD5iDjfdGm0N0qAHYqLXwgXVRA== 
2018-01-13 14:24:31, INFO, 220.184.150.50, File[ E:\msw\unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-01-13 14:24:31, INFO, 220.184.150.50, File[ E:\msw\unionpay\pay.php ], Line[95]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-01-13 14:25:30, INFO, 101.226.33.237, File[ E:\msw\unionpay\pay.php ], Line[65]------ ============处理前台请求开始=============== 
2018-01-13 14:25:30, INFO, 101.226.33.237, File[ E:\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-01-13 14:25:30, INFO, 101.226.33.237, File[ E:\msw\unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://msw.unohacha.com/unionpay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://msw.unohacha.com/unionpay/FrontReceive.php&merId=310420173990262&orderId=MS201801131424262974&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20180113142530&txnType=01&version=5.0.0 
2018-01-13 14:25:30, INFO, 101.226.33.237, File[ E:\msw\unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >0e64a72d4b68bf162cad52c32c07e266513770a6 
2018-01-13 14:25:30, INFO, 101.226.33.237, File[ E:\msw\unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >QkcAkdzrTFBYLE21Yy5+XAUVE4W4bnam1kph+I9GTK0fMepMPbwVfE/gkf83GFFNnMxBEnkwpPDbVggwgUxiQ/kn/MfNu5FdR7DJctIci1hg1sRUdbAsGDyV52viAditShV7MrznNc7rai5tQde3hIOtURHGov6YdppAmm29BtG9WeLWsWF1zeL3KTquNDcwSrVSDOW45QLVZBc46DP2cv80G5yO/R1F1on5+30Icpb++HhX+Tz8/jsamoL77kUJCFJuroXeRu+1TgnL3sxiAVdAIumRSM/AdiJ2z37jUM5WRgvG4eqzC0ukcbUj7pS6xx6EHxdSn7X8BsxLEb1DrA== 
2018-01-13 14:25:30, INFO, 101.226.33.237, File[ E:\msw\unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-01-13 14:25:30, INFO, 101.226.33.237, File[ E:\msw\unionpay\pay.php ], Line[95]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
