2019-04-24 9:32:06, INFO, 101.132.97.6, File[ E:\msw\unionpay\pay.php ], Line[142]------ ============处理前台请求开始=============== 
2019-04-24 9:32:06, INFO, 101.132.97.6, File[ E:\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2019-04-24 9:32:06, INFO, 101.132.97.6, File[ E:\msw\unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpay/FrontReceive.php&merId=310420173990262&orderId=MS201904231652013449&reqReserved= 透传信息&signMethod=01&txnAmt=58800&txnSubType=01&txnTime=20190424093206&txnType=01&version=5.0.0 
2019-04-24 9:32:06, INFO, 101.132.97.6, File[ E:\msw\unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >a61a493d2508477f1b6ab92417f70591e089f0a6 
2019-04-24 9:32:08, INFO, 101.132.97.6, File[ E:\msw\unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >JPfAWO7usoibah347yE1i6eYDl+zPYPH2WTOyR6pdgBjWouvGuRmIslQrNsr252HlSkN+7ThJM3hGtt9nU+jvLyxUoprlHhQr3sQOsvs5DDI2CyBp1BqdjfBlW/W6ol2YGPQ6D9WU32+c1CyTGfckVf5pEvlV6x7g7Dpurtbm/ml4N4vENzPJzbeYC8V4BpNcX/NVL8OOEt2eOUW37H4TYbQKY/WMSk5J6ChCMRevbPYPPuU+ahhd+HU5Tvx5MhG+pcEjMOcSitu9At920+H61KW1uLIfLw/A1FpmOhgDqkmdsohuk8J097BbUZP4lDOiLfbBcHRoq1b3p8QCdzl3Q== 
2019-04-24 9:32:08, INFO, 101.132.97.6, File[ E:\msw\unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2019-04-24 9:32:08, INFO, 101.132.97.6, File[ E:\msw\unionpay\pay.php ], Line[172]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2019-04-24 9:40:32, INFO, 106.14.167.211, File[ E:\msw\unionpay\pay.php ], Line[142]------ ============处理前台请求开始=============== 
2019-04-24 9:40:32, INFO, 106.14.167.211, File[ E:\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2019-04-24 9:40:32, INFO, 106.14.167.211, File[ E:\msw\unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpay/FrontReceive.php&merId=310420173990262&orderId=MS201904231656423558&reqReserved= 透传信息&signMethod=01&txnAmt=6800&txnSubType=01&txnTime=20190424094032&txnType=01&version=5.0.0 
2019-04-24 9:40:32, INFO, 106.14.167.211, File[ E:\msw\unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >5ed7b15673f5bfb4e4de6df4e9ce994900239a98 
2019-04-24 9:40:33, INFO, 106.14.167.211, File[ E:\msw\unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >MDOKALREdqxFAtUWy94TzddIfdovzEjIEN2NoAjvnbrdD9GpKpuITjgcUQxD+uxpG7fuCUKGwVLbo36KJbWIE6IjsH77hBfa8fqWmWjbELmFnrlbkAX925P+anaY4L5JgaqHONb6gmZxBBN6qF399LaWffA7oftiox9iW+nQjliSF10Gsx6rU2adltk4iFu2dRNBvYBt0NhPRazqRlsj/8uPrT7qZbcnhrEL2RBTXGl94DsFndxSI1SPX3Ufl1YG9gKTbAw+jVXOfp57zy38bP9Zz92Wo36BeicHiDa3vGnxgGLJ7y3SLaUJsn79wTuyaqC9was+nPj7mXqkwz5U2g== 
2019-04-24 9:40:33, INFO, 106.14.167.211, File[ E:\msw\unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2019-04-24 9:40:33, INFO, 106.14.167.211, File[ E:\msw\unionpay\pay.php ], Line[172]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
