2019-04-23 16:52:33, INFO, 115.198.47.37, File[ E:\msw\unionpay\pay.php ], Line[142]------ ============处理前台请求开始=============== 
2019-04-23 16:52:33, INFO, 115.198.47.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2019-04-23 16:52:33, INFO, 115.198.47.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpay/FrontReceive.php&merId=310420173990262&orderId=MS201904231652013449&reqReserved= 透传信息&signMethod=01&txnAmt=58800&txnSubType=01&txnTime=20190423165233&txnType=01&version=5.0.0 
2019-04-23 16:52:33, INFO, 115.198.47.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >2ef2c58bdbe880a96d1a51c24979b0a0e544bb6c 
2019-04-23 16:52:34, INFO, 115.198.47.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >ELgwlEy94N4RNvvlJJFLd4o79ijAZyDlyJARAtCY3jb3ORG/KVQrCq6cyR1Zch76up3f6iW7aus33UOcwBJHw4fZIkpaDkOpz07pBCDsItmyaOf++8HW1vW5MfB+sBV6sZbLfhKHc3ZOvhYtA+3VzoXMBaD1KNgIQ7Aq+8M8bBVMMOff7lmt7QUwCaV7sZOZCJ2Mq7QzDcR8M2RXFXsaoUmE2vbOqMixMCJPFHJeH1vG887WHJfjeiY7261XLuGMsY4H56nspUMxspPzUMHVLFq8OmDt0L8C6i0bSIm1f7J4xHUP6GxmXPzYo1G+2s8/LHqvN0x7bGMP6JrYPokXAg== 
2019-04-23 16:52:34, INFO, 115.198.47.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2019-04-23 16:52:34, INFO, 115.198.47.37, File[ E:\msw\unionpay\pay.php ], Line[172]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2019-04-23 16:53:32, INFO, 101.91.60.107, File[ E:\msw\unionpay\pay.php ], Line[142]------ ============处理前台请求开始=============== 
2019-04-23 16:53:32, INFO, 101.91.60.107, File[ E:\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2019-04-23 16:53:32, INFO, 101.91.60.107, File[ E:\msw\unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpay/FrontReceive.php&merId=310420173990262&orderId=MS201904231652013449&reqReserved= 透传信息&signMethod=01&txnAmt=58800&txnSubType=01&txnTime=20190423165332&txnType=01&version=5.0.0 
2019-04-23 16:53:32, INFO, 101.91.60.107, File[ E:\msw\unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >f9420dea110152da46481823638b3cd9c02643d3 
2019-04-23 16:53:32, INFO, 101.91.60.107, File[ E:\msw\unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >PjsDDW1eqZTYzhf6vPVbVAPduB3egI2UG8yVJDqCKMdDAoNRso0VdKrVfG3w3C+J9dcaVghGT9WkeMe2UkRtR149/y+KEn10ZtNm/VLS/RDSu8ZB9XyBBOmoZ9DmhXzaaXOjYkfzJOJL5kAUKm7UgDtQjLyZI4jr/LWqSNU62lXwJma/20yVMKZQJNXXahKoEpZsFXOayDj6exEMp0sql5skuNcAsn9dcFEkkYT8n2w0ri1RJaBTR96WEtR1Xw+wH5Hz+rJsKB8kZOwYHgJtGTYZS2XDlMpvy5jtZgC8iOo33Q0msNDUF38v+UpfuFyQvsbOH70+e78hD6/maObPKA== 
2019-04-23 16:53:32, INFO, 101.91.60.107, File[ E:\msw\unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2019-04-23 16:53:32, INFO, 101.91.60.107, File[ E:\msw\unionpay\pay.php ], Line[172]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2019-04-23 16:57:18, INFO, 115.198.47.37, File[ E:\msw\unionpay\pay.php ], Line[142]------ ============处理前台请求开始=============== 
2019-04-23 16:57:18, INFO, 115.198.47.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2019-04-23 16:57:18, INFO, 115.198.47.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpay/FrontReceive.php&merId=310420173990262&orderId=MS201904231656423558&reqReserved= 透传信息&signMethod=01&txnAmt=6800&txnSubType=01&txnTime=20190423165718&txnType=01&version=5.0.0 
2019-04-23 16:57:18, INFO, 115.198.47.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >8b4ec20f8ef26f211dbf036d220343952e7a2b22 
2019-04-23 16:57:18, INFO, 115.198.47.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >D1gtT8iA6/puLuEYNjLpaI/FW+9Fj7vG6XuQaiPO60d3pQehUJvVOf50hdE2bVK1B1aeg1pyCjVupRGpIRyFV4jY/MSVGbnx/p0NBdez2J6Fd89GBcei90gIjDR6jmwVFasn8vu1PwYtNYE1z39Djrmun0UXXx/Ct1Yg+wDKWn7YPLBwhAnEdyqv8WrFf4fTtkzlBaBFGccSteeq/rZsgeVCwJzz1b5l2zXPMMo9mzJ934woXdALt3GnlRxUw+nGmxKcG9QNIIVA37HOC1doYypSxYzK5fEXDCAe8KFzRTXicghIN0R+sR3E2d/3zUtSgcJLWYPoLEcIGc/V0MXDew== 
2019-04-23 16:57:18, INFO, 115.198.47.37, File[ E:\msw\unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2019-04-23 16:57:18, INFO, 115.198.47.37, File[ E:\msw\unionpay\pay.php ], Line[172]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2019-04-23 16:58:18, INFO, 101.89.239.238, File[ E:\msw\unionpay\pay.php ], Line[142]------ ============处理前台请求开始=============== 
2019-04-23 16:58:18, INFO, 101.89.239.238, File[ E:\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2019-04-23 16:58:18, INFO, 101.89.239.238, File[ E:\msw\unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpay/FrontReceive.php&merId=310420173990262&orderId=MS201904231656423558&reqReserved= 透传信息&signMethod=01&txnAmt=6800&txnSubType=01&txnTime=20190423165818&txnType=01&version=5.0.0 
2019-04-23 16:58:18, INFO, 101.89.239.238, File[ E:\msw\unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >b32dca5ce8a6acff3e71ed18e541ae1892b87117 
