2018-12-03 9:47:31, INFO, 223.104.247.150, File[ E:\msw\unionpay\pay.php ], Line[142]------ ============处理前台请求开始=============== 
2018-12-03 9:47:31, INFO, 223.104.247.150, File[ E:\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-12-03 9:47:31, INFO, 223.104.247.150, File[ E:\msw\unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpay/FrontReceive.php&merId=310420173990262&orderId=MS201812030947174798&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20181203094731&txnType=01&version=5.0.0 
2018-12-03 9:47:31, INFO, 223.104.247.150, File[ E:\msw\unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >a297698726c774adea2cb31be66dfe5fda344e78 
2018-12-03 9:47:32, INFO, 223.104.247.150, File[ E:\msw\unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >chAXjmwKAxXEqw0PsGs3T02f+LiNm4/YEtPJNHVmDaX8QvKjbpJIrCFdr/ueG60wIkgIv+/5fjn3z2k+mq5A5z3MBVMaTJKwg3k+b6jHdWa3NtfOzZgBh2RbfH/F+vKhv8ITdUJyrSpkq3j5HXRn8UlqT9DTrcn58gK4PsSQe3OwmYOygThfHM1rojkzY+LoVH4ReaSCmxE5HITi0IxsPpZfuAQadvT4v/XObI8PdIOc3ujdBLfRX8EZg3+9GPB/J20XwemXeTwzuccpH1RritIZ+smxbbwUkjPiWsiUAMLPFirm54qlBieUDo4J8hfDCMXvgG94cjNdsMDYZxaCVw== 
2018-12-03 9:47:32, INFO, 223.104.247.150, File[ E:\msw\unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-12-03 9:47:32, INFO, 223.104.247.150, File[ E:\msw\unionpay\pay.php ], Line[172]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-12-03 9:48:32, INFO, 180.97.118.223, File[ E:\msw\unionpay\pay.php ], Line[142]------ ============处理前台请求开始=============== 
2018-12-03 9:48:32, INFO, 180.97.118.223, File[ E:\msw\unionpay\func\secureUtil.php ], Line[16]------ =====签名报文开始====== 
2018-12-03 9:48:32, INFO, 180.97.118.223, File[ E:\msw\unionpay\func\secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://www.zhejiangart.com.cn/unionpay/BackReceive.php&bizType=000201&certId=73944830873&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.zhejiangart.com.cn/unionpay/FrontReceive.php&merId=310420173990262&orderId=MS201812030947174798&reqReserved= 透传信息&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20181203094832&txnType=01&version=5.0.0 
2018-12-03 9:48:32, INFO, 180.97.118.223, File[ E:\msw\unionpay\func\secureUtil.php ], Line[25]------ 摘要sha1x16 >dda208fcc084107a3535c7ac25f827320a8b90ff 
2018-12-03 9:48:32, INFO, 180.97.118.223, File[ E:\msw\unionpay\func\secureUtil.php ], Line[33]------ 签名串为 >jWW97tisMXhFZQiyvEHdoSEQD8mCCRKGFKiAHuUDx95Vyo+KH/oYBvlWiBep67/odZ9Mbg1JA4SZe2masicG5HZDN7nPxE/Jt55hrXWu7oIGnhtfJZdR5u7YAzumex/94MTKOfxX1NEJH/XoZ68+6Tcjeesobxgw6n7HVe4LPHKi8CA/+DUzSnsYYGJH945tRFIo1uyqjsq4uwaPpMu1jUBcb2aN8f3XFNqSC7TyQmfiyvg+kacvFrJG5YV4cbaM/o1TTd5ZXSEMihz2Xzj5AxZWDyDTpCNJpihmTNGK9t9PY6W25yjKtj28J50sjv8L7g26MO6Debf6grbi4rlEqw== 
2018-12-03 9:48:32, INFO, 180.97.118.223, File[ E:\msw\unionpay\func\secureUtil.php ], Line[38]------ =====签名报文结束====== 
2018-12-03 9:48:32, INFO, 180.97.118.223, File[ E:\msw\unionpay\pay.php ], Line[172]------ 前台请求地址为>https://gateway.95516.com/gateway/api/frontTransReq.do 
2018-12-03 9:48:54, INFO, 101.230.11.189, File[ E:\msw\unionpay\func\secureUtil.php ], Line[74]------ 报文返回的证书ID>69597475696 
2018-12-03 9:48:54, INFO, 101.230.11.189, File[ E:\msw\unionpay\func\secureUtil.php ], Line[77]------ 验证签名证书目录 :>E:/msw/unionpay/certs/ 
2018-12-03 9:48:54, INFO, 101.230.11.189, File[ E:\msw\unionpay\func\secureUtil.php ], Line[93]------ 没有找到证书ID为[69597475696]的证书 
2018-12-03 9:48:54, INFO, 101.230.11.189, File[ E:\msw\unionpay\func\secureUtil.php ], Line[56]------ 报文去[signature] key=val&串>accessType=0&bizType=000201&certId=69597475696&currencyCode=156&encoding=utf-8&merId=310420173990262&orderId=MS201812030947174798&queryId=321812030947311943918&reqReserved=透传信息&respCode=00&respMsg=Success!&settleAmt=100&settleCurrencyCode=156&settleDate=1203&signMethod=01&traceNo=194391&traceTime=1203094731&txnAmt=100&txnSubType=01&txnTime=20181203094731&txnType=01&version=5.0.0 
2018-12-03 9:48:54, INFO, 101.230.11.189, File[ E:\msw\unionpay\func\secureUtil.php ], Line[60]------ 摘要shax16>3ade814ba3ab621689934c9e60bb05316bb60758 
2018-12-03 9:48:54, INFO, 101.230.11.189, File[ E:\msw\unionpay\func\secureUtil.php ], Line[62]------ 验签失败 
